date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:09:11	19201/19201	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202020%2008:09:16%20GMT	http://colorrituals.webflow.io/	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/colorrituals.webflow.io/index.html	(from )
10:09:11	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Mon,%2022%20Jun%202020%2008:09:16%20GMT	http://colorrituals.webflow.io/robots.txt		(from )
10:09:13	52261/52261	---M-Z	200	added ('OK')	text/css	etag:%221eb2688cf33a0e53d1b39494ae183d65%22	https://uploads-ssl.webflow.com/5ea9bcda61073b86302b2fbf/css/colorrituals.webflow.1a86e66e1.css	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/uploads-ssl.webflow.com/5ea9bcda61073b86302b2fbf/css/colorrituals.webflow.1a86e66e1.css	(from http://colorrituals.webflow.io/)
10:09:16	13188/13188	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from http://colorrituals.webflow.io/)
10:09:16	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://uploads-ssl.webflow.com/img/webclip.png	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/uploads-ssl.webflow.com/img/webclip.png	(from http://colorrituals.webflow.io/)
10:09:17	5973/5973	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202020%2008:09:23%20GMT	http://colorrituals.webflow.io/blog	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/colorrituals.webflow.io/blog.html	(from http://colorrituals.webflow.io/)
10:09:17	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Mon,%2022%20Jun%202020%2008:09:24%20GMT	http://colorrituals.webflow.io/about	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/colorrituals.webflow.io/about	(from http://colorrituals.webflow.io/)
10:09:18	18927/18927	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202020%2008:09:24%20GMT	http://colorrituals.webflow.io/photos/love-couple	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/colorrituals.webflow.io/photos/love-couple.html	(from http://colorrituals.webflow.io/)
10:09:20	18906/18906	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202020%2008:09:25%20GMT	http://colorrituals.webflow.io/photos/mandala	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/colorrituals.webflow.io/photos/mandala.html	(from http://colorrituals.webflow.io/)
10:09:23	18955/18955	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202020%2008:09:28%20GMT	http://colorrituals.webflow.io/photos/dark-night	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/colorrituals.webflow.io/photos/dark-night.html	(from http://colorrituals.webflow.io/)
